population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),circle code,literacy % (10+ years)-all sexes,literacy % (10+ years)-male,male voters,female voters
10210,5243,4966,1,85.73,100,1407,1254,1,1346,1235,,615,623,,9514,696,7906,6225,612,2685,5520,1850404,87.73,89.67,4334,3493
8381,4342,4039,,70.95,,1341,1156,,579,588,,107,103,,8374,7,6249,4603,325,2435,3560,1850501,73.04,74.99,2781,2067
9232,4799,4432,1,68.21,,1254,1050,,697,598,,107,107,,9164,68,6603,4933,390,2478,3724,1850502,71.68,74.89,1714,1237
8274,4254,4019,1,60.31,100,1010,780,,477,467,,72,69,,8125,149,5996,4519,403,2267,3310,1850503,62.99,65.48,2025,1485
8885,4585,4296,4,76.26,75,1214,1028,1,1055,968,1,271,263,1,8825,60,6714,5197,492,1509,4116,1850504,78.33,80.3,2474,1835
13498,7029,6466,3,59.18,33.33,1632,1344,,959,816,1,222,227,,13163,335,9782,7226,572,2205,5328,1850505,62.91,66.37,2646,1868
14475,7341,7130,4,67.41,25,2002,1705,,1015,931,1,191,222,,14244,231,10539,7982,725,3419,6278,1850506,71.33,75.2,4180,3186
20116,10458,9658,,82.6,,2758,2347,,2815,2439,,760,823,,20055,61,15383,11931,993,5527,10040,1850601,84.54,86.33,4366,3607
26795,13975,12819,1,67.91,,3710,3017,,2295,2093,,531,593,,26498,297,19721,15025,1227,6669,11679,1850602,70.85,73.56,6109,4355
12697,6544,6153,,75.75,,1883,1633,,1403,1343,,405,429,,12358,339,9699,7445,681,3646,6006,1850603,76.93,78.03,3781,2890
19652,10185,9466,1,63.78,,2426,1855,,1803,1556,,479,502,,19355,297,14452,11041,973,5574,8676,1850604,67.19,70.36,4022,2817
17570,9059,8511,,75.02,,2420,1897,,1928,1677,,541,569,,17545,25,13154,10250,930,4452,8269,1850605,77.78,80.37,5266,3822
23773,12651,11118,4,61.33,75,2780,2026,1,1704,1499,2,341,433,,23678,95,17292,13164,1086,6939,10589,1850701,63.55,65.44,6594,4941
12788,6873,5909,6,75.17,50,1739,1165,1,1378,1213,,416,447,1,12598,190,9613,7381,578,3320,6052,1850702,77.42,79.29,3369,2523
8833,4608,4224,1,87.55,100,1280,960,,1254,1213,,495,520,1,8499,334,6905,5477,601,2483,4474,1850703,89.66,91.58,3171,2724
5312,2739,2573,,76.66,,583,474,,439,462,,130,154,,5301,11,3942,2996,243,1386,2429,1850704,77.73,78.74,1710,1276
9674,5061,4613,,52.29,,951,791,,387,309,,60,70,,9520,154,6939,5163,417,1383,3935,1850801,54.49,56.5,2524,1874
14006,7428,6578,,64.44,,1909,1442,,1194,984,,252,272,,13947,59,10419,8008,735,2799,6258,1850802,68.14,71.37,3126,2426
9113,4807,4305,1,40.76,,720,434,,289,200,,45,40,,8883,230,6296,4643,317,1788,3385,1850803,44.84,48.36,2234,1481
12951,6789,6161,1,61.07,,1552,1370,,570,642,,76,98,,12897,54,9531,7142,558,3113,5315,1850804,60.68,60.33,3905,2769
20755,10779,9973,3,60.93,66.67,2765,2244,2,1230,1153,,190,203,,20744,11,14928,11133,833,5100,8205,1850805,64.21,67.24,5359,3973
10664,5546,5112,6,60.06,16.67,1515,1123,,855,706,1,217,230,,10384,280,8070,6160,529,3092,4851,1850806,64.52,68.74,2534,1903
14276,7261,7013,2,75.28,,2198,1820,,1587,1482,,386,452,,14166,110,10877,8376,685,2798,6912,1850807,77.44,79.52,3658,2939
5807,3037,2770,,49.06,,490,390,,442,366,,133,150,,5638,169,4142,3129,235,1006,2495,1850808,50.85,52.46,1622,1211
12983,6764,6219,,86.22,,1749,1602,,1783,1660,,733,511,,12877,106,10235,8060,877,2438,6849,1850901,87.83,89.32,2591,1889
4324,2165,2157,2,79.28,100,609,576,,490,485,2,136,139,,3867,457,3397,2683,257,815,2121,1850902,79.25,79.19,5670,4297
13897,7242,6654,1,65.83,,1959,1562,,1014,906,,200,184,,13216,681,10313,7792,711,3947,5839,1850903,69.46,72.75,3790,2208
20378,10579,9799,,61.02,,2711,2226,,1371,1349,,351,361,,17639,2739,15276,11546,1020,4947,8795,1850904,62.51,63.87,5405,3688
9559,4874,4678,7,67.94,71.43,1396,1259,3,686,706,1,118,135,1,9437,122,7088,5462,467,2730,4077,1850905,69.48,70.95,2865,1991
7791,3990,3800,1,68.15,,736,623,,800,783,,395,337,,7738,53,5878,4624,479,1510,3651,1850906,69.99,71.78,2086,1624
11597,6039,5556,2,66.93,50,1455,1207,,1021,1000,,248,257,,11433,164,8614,6626,557,2996,5229,1850907,67.55,68.14,2829,2056
6352,3247,3103,2,80.73,100,1017,860,2,781,706,,165,197,,6246,106,4871,3724,317,1692,2990,1851001,82.94,85,2091,1643
15605,7965,7638,2,79.44,50,2238,1867,,1872,1803,,661,724,,15490,115,11833,9291,954,4021,7752,1851002,81.51,83.51,3274,2637
10396,5404,4991,1,80.14,,1599,1243,,1122,983,,281,276,,10280,116,7870,6121,532,2177,4850,1851003,82.54,84.76,4295,3225
21960,11405,10550,5,70.94,40,3433,2808,1,1877,1704,1,373,348,,17712,4248,16343,12364,982,3825,9455,1851004,73.3,75.49,3566,2317
11727,5988,5738,1,62.25,,1364,1165,,1061,1026,,245,255,,11168,559,8855,6985,646,1964,5490,1851005,63.51,64.73,4539,3212
18134,9533,8594,7,46.58,14.29,2272,1661,1,864,702,,138,137,,18116,18,12907,9441,714,3891,6859,1851101,50.42,53.83,3804,2571
11513,6073,5435,5,68.8,100,1939,1409,4,957,850,1,202,226,,11472,41,8589,6525,482,1694,5224,1851102,72.77,76.23,3004,2321
16419,8638,7781,,74.14,,2144,1667,,1410,1259,,267,331,,16288,131,12186,9251,721,4596,7169,1851103,75.89,77.44,3297,2331
15839,8312,7520,7,71.71,28.57,2220,1650,2,1336,1271,,307,341,,14990,849,11761,8948,729,4717,7155,1851104,75.33,78.61,4085,2904
26035,13509,12522,4,61.84,25,3227,2526,1,2220,1888,,377,434,,24961,1074,19027,14373,1135,5402,11535,1851105,64.9,67.75,7947,5381
14626,7637,6986,3,68.56,33.33,1768,1384,,933,836,1,149,238,,14606,20,10953,8452,736,3409,6362,1851201,70.38,72.02,3663,2683
14820,7676,7144,,81.45,,2385,1881,,1684,1626,,371,426,,14739,81,11250,8744,768,3397,7047,1851202,84.04,86.4,4323,3286
12532,6635,5895,2,61.99,,1698,1264,,875,744,,183,220,,10442,2090,9275,7094,520,3933,5468,1851203,64.3,66.34,3197,2300
21430,11188,10236,6,70.48,16.67,3327,2626,1,1676,1761,,303,353,,21368,62,15940,12157,1052,6299,9351,1851204,71.49,72.43,5322,3808
17932,9292,8640,,75.05,,2784,2167,,1588,1641,,293,390,,17786,146,13282,10250,896,4942,7719,1851205,76.64,78.1,5479,3704
13177,7185,5992,,74.04,,2119,1470,,1327,1117,,351,381,,12997,180,9866,7706,623,1676,6114,1851301,76.12,77.81,4103,3206
7761,4133,3628,,85.62,,1439,966,,999,907,,276,328,,7745,16,6069,4717,385,1369,4014,1851302,87.43,88.93,2779,2293
3506,1846,1660,,83.6,,555,428,,477,422,,112,145,,3506,,2790,2202,223,771,1844,1851303,84.37,85.04,1665,1396
3444,1812,1632,,86.6,,552,395,,432,467,,129,167,,3444,,2666,2089,190,1045,1799,1851304,86.61,86.62,1348,1088
3713,1916,1797,,87.45,,555,483,,505,515,,159,175,,3705,8,2947,2355,240,977,2062,1851305,86.94,86.46,1819,1510
7111,3657,3454,,49.18,,773,556,,432,396,,112,150,,7103,8,5135,3820,314,2104,2840,1851401,53.2,57.02,2510,1938
10469,5611,4858,,72.86,,1534,1089,,879,836,,250,311,,9910,559,7889,6092,480,3042,4914,1851402,74.85,76.53,3470,2606
10988,5712,5276,,85,,1589,1264,,1583,1405,,459,542,,10988,,8503,6654,594,1879,5559,1851403,86.02,86.94,3446,2601
8609,4409,4200,,86.65,,1223,1010,,1257,1191,,446,514,,8599,10,6777,5312,509,1966,4661,1851404,87.68,88.66,2933,2555
9457,4948,4504,5,81.05,100,1418,1092,4,955,1020,,261,289,,9287,170,7378,5774,495,3012,4622,1851501,83.04,84.82,3718,2800
10921,5712,5209,,77.85,,1725,1383,,1144,1143,,213,307,,10693,228,8346,6539,549,2928,5189,1851502,77.23,76.68,3545,2612
8510,4593,3914,3,73.56,33.33,1389,948,,888,874,1,223,236,,8505,5,6578,5226,452,1066,4254,1851503,75.01,76.26,3209,2277
17924,10533,7383,8,72.61,50,3032,1709,,1569,1292,1,309,345,,17809,115,13967,11313,868,6278,9257,1851601,70.29,68.82,5874,4431
11116,5800,5311,5,84.01,40,1737,1295,,1342,1430,2,295,402,,11095,21,8665,6926,763,3017,5632,1851602,82.71,81.61,4135,3167
4376,2422,1931,23,56.96,13.04,547,365,2,401,325,1,94,184,,4119,257,3596,2940,239,1210,2308,1851701,53.98,52.17,1794,1396
4065,2442,1623,,73.58,,759,414,,440,354,,91,85,,3872,193,3339,2636,232,1354,2153,1851702,71.43,70.09,2484,1792
5674,3144,2515,15,68.66,20,859,633,3,579,474,,130,139,,5569,105,4587,3742,331,2152,2985,1851703,68.67,68.96,2922,2216
10016,5430,4583,3,73.38,66.67,1637,1214,2,894,916,,188,185,,9991,25,7914,6411,627,2801,4859,1851704,72.24,71.31,3469,2510
8296,4343,3947,6,59.41,33.33,1140,928,1,653,656,1,126,124,,7481,815,6441,5090,507,2605,3834,1851801,59.28,59.2,4256,3062
10399,5527,4867,5,72.7,80,1389,1016,1,938,1035,1,204,228,,10287,112,8126,6356,652,3279,5095,1851802,72.9,73.07,4476,3441
7775,4001,3770,4,83.64,25,1268,1107,,907,942,,149,182,,7775,,6049,4798,417,2447,3808,1851803,82.59,81.69,3394,2571
9893,5479,4414,,76.86,,1534,1096,,1014,1108,,165,183,,9838,55,7884,6263,519,3590,4955,1851804,72.63,69.37,5258,3748
6674,3502,3166,6,72.2,16.67,992,768,,570,676,1,143,163,,6654,20,5143,4033,401,1910,3124,1851901,70.46,69.06,2146,1605
6083,3291,2791,1,78.11,100,1024,721,,587,671,,108,115,,6076,7,4820,3794,326,2061,2974,1851902,75.89,74.1,2233,1634
4995,2707,2287,1,81.34,100,868,594,1,598,613,,125,163,,4994,1,4026,3263,341,1738,2646,1851903,80.03,78.94,2344,1787
4433,2519,1912,2,85.36,50,997,615,,443,453,1,73,99,,4427,6,3601,2867,229,1665,2296,1851904,82.42,80.41,1675,1241
6558,3743,2813,2,80.13,50,1200,795,1,672,685,,124,152,,6554,4,5313,4252,346,2470,3440,1851905,75.25,71.87,3076,2296
10987,6119,4868,,78.67,,1967,1361,,1086,1207,,179,254,,10961,26,8786,6945,588,2784,5501,1852001,75.27,72.65,4702,3507
6146,3442,2703,1,89.12,,1010,686,,888,898,,184,193,,6138,8,5022,4038,424,1987,3484,1852002,84.93,81.76,4258,3230
3325,1896,1428,1,80.77,100,518,347,,440,373,1,89,90,,3315,10,2659,2105,212,752,1674,1852101,78.41,76.7,2010,1475
5345,2856,2487,2,84.37,100,842,547,1,745,740,1,204,222,,5265,80,4338,3457,338,1782,2955,1852102,82.85,81.58,1636,1210
7606,4313,3293,,79.34,,1264,767,,1003,892,,173,232,,7543,63,6136,4983,421,2792,4148,1852103,75.02,71.98,3406,2732
4515,2591,1919,5,83.16,60,708,452,3,599,543,,133,132,,4410,105,3657,2963,294,1682,2556,1852104,79.96,77.78,2318,1766
8751,4699,4052,,84.89,,1326,1009,,1064,1130,,254,293,,8586,165,6941,5515,530,2076,4733,1852201,83.23,81.82,3718,2906
3054,1831,1223,,87.24,,680,357,,408,345,,46,65,,3007,47,2504,1950,168,962,1604,1852202,85.02,83.66,1794,1233
3656,1936,1719,1,83.47,,667,484,,490,458,,71,91,,3611,45,2917,2318,193,629,1912,1852203,85.43,87.22,2048,1572
3334,2044,1290,,82.23,,668,328,,463,327,,99,98,,3266,68,2738,2237,183,1440,1962,1852204,82.07,81.97,1460,1008
4273,2607,1666,,79.27,,781,438,,695,397,,147,160,,4243,30,3510,2795,231,1726,2465,1852205,77.61,76.62,1871,1402
11800,6283,5514,3,86.57,33.33,1776,1373,1,1526,1430,,437,528,,11759,41,9258,7319,693,3266,6109,1852301,85.69,84.95,4565,3681
8134,4291,3838,5,82.94,60,1218,823,,1117,1027,3,296,351,,8090,44,6283,4982,529,2068,4214,1852302,84.04,85.01,3259,2495
3149,1671,1476,2,80.97,100,461,337,2,384,370,,84,110,,3137,12,2424,1920,170,600,1558,1852303,81.02,81.04,1278,914
10202,5330,4872,,91.61,,1681,1260,,1427,1368,,353,487,,10172,30,8079,6392,639,1890,5506,1852401,91.99,92.33,3632,2941
7978,4176,3801,1,80.9,100,1195,974,,808,917,,162,246,,7939,39,6183,4942,492,2369,4071,1852402,79.02,77.32,3532,2723
4850,2653,2196,1,86.46,,862,610,,635,611,,163,173,,4824,26,3840,3105,282,1581,2662,1852403,85.57,84.89,1628,1329
11718,5820,5898,,88.96,,1538,1244,,1840,1959,,546,765,,11654,64,9252,7465,864,3246,6322,1852501,89.63,90.32,4766,3980
11838,6084,5754,,92.65,,1860,1435,,1782,1836,,526,718,,11822,16,9318,7341,840,3354,6443,1852502,93.1,93.53,5536,4599
6327,3172,3154,1,91.36,,716,639,,1071,1071,,435,498,,6298,29,4959,4000,479,1711,3578,1852601,91.99,92.67,3672,3138
3775,2273,1502,,89.31,,638,299,,564,471,,203,228,,3758,17,3124,2568,247,1584,2393,1852602,83.26,79.5,1623,1328
13765,7079,6685,1,89.97,100,1845,1504,1,2152,2084,,722,896,,13453,312,10865,8668,960,4070,7695,1852603,90.82,91.65,6484,5275
7963,4069,3894,,89.36,,1164,950,,1222,1270,,326,419,,7958,5,6245,4946,556,2206,4218,1852604,89.43,89.5,2888,2403
12022,6271,5749,2,84.42,,1805,1411,,1518,1561,,452,535,,12009,13,9435,7367,686,3688,6064,1852701,85.35,86.24,5173,4002
9001,4587,4414,,87.01,,1339,1132,,1275,1228,,407,474,,8999,2,7131,5689,633,2538,4979,1852702,88.44,89.82,4172,3264
8310,4203,4107,,90.06,,1423,1191,,1184,1188,,272,387,,7424,886,6577,5196,520,2145,4547,1852801,90.15,90.24,3394,2706
15241,7932,7307,2,84.11,100,2499,2014,1,1967,1891,,427,512,,15187,54,11911,9510,866,4366,7872,1852802,84.53,84.9,5825,4534
16532,8601,7929,2,83.33,100,2543,2026,,2130,1994,2,612,747,,15883,649,12964,10389,1032,5149,9216,1852901,84.14,84.88,7065,5670
8058,4231,3827,,72.1,,1320,954,,723,683,,176,207,,7486,572,6296,4968,407,2668,4362,1852902,74.84,77.27,2433,1867
10417,5320,5095,2,83.35,,1491,1161,,1424,1448,,471,560,,10387,30,8137,6456,680,3223,5538,1853001,84.36,85.36,4672,3731
14192,7325,6867,,79.95,,2194,1690,,1601,1878,,344,488,,13770,422,11053,8713,850,4080,7410,1853101,78.82,77.76,4374,3381
8543,4450,4092,1,82.65,100,1355,1056,1,970,1103,,251,308,,8538,5,6637,5220,468,2590,4206,1853102,82.22,81.82,3883,2922
11726,5929,5793,4,85.59,50,1942,1628,2,1366,1499,,335,441,,11714,12,9154,7203,773,3356,5758,1853201,85.58,85.6,4624,3497
20701,10595,10097,9,78.14,77.78,3363,2680,3,1960,2181,3,381,547,,17947,2754,15575,12163,1065,5598,9717,1853202,79.12,80.06,7732,5706
12581,6401,6179,1,87.98,,1850,1625,,1839,1702,,495,581,,12557,24,9696,7726,805,3437,6455,1853301,89.37,90.71,4361,3449
5809,2958,2850,1,88.09,100,889,666,1,738,792,,215,262,,5774,35,4394,3431,378,860,2866,1853302,89.94,91.73,1084,871
8246,4241,4005,,86.94,,1212,978,,1104,1161,,313,431,,8210,36,6344,5012,528,2239,4281,1853303,87.22,87.49,3787,2989
11648,6162,5483,3,50.5,,1322,1019,,598,529,,75,85,,11257,391,8372,6284,511,3588,4360,1853401,52.81,54.83,2114,1369
9905,5272,4631,2,51.84,,1084,879,,504,460,,56,61,,8869,1036,7090,5322,434,3109,3605,1853402,53,54.05,1474,883
8271,4118,4153,,89.05,,1014,897,,1251,1255,,461,553,,8250,21,6399,5013,592,2281,4607,1853501,89.92,90.8,1606,1362
8078,4052,4026,,93.18,,996,897,,1334,1317,,420,530,,7969,109,6253,4979,565,1892,4498,1853502,93.49,93.81,2846,2378
9240,4623,4614,3,90.24,66.67,1350,1216,1,1395,1473,1,347,477,,9200,40,7148,5739,653,2517,4775,1853503,89.65,89.07,4029,3152
9250,4780,4470,,85.44,,1493,1176,,1113,1224,,281,346,,8927,323,7119,5603,544,2766,4458,1853504,86.19,86.9,3135,2357
8485,4459,4025,1,76.2,,1247,942,,902,911,,254,321,,8428,57,6479,5041,498,1720,4156,1853601,78.01,79.69,4154,3308
14944,7753,7187,4,69.86,25,2024,1599,1,1353,1435,,351,398,,12718,2226,11195,8743,737,3695,6366,1853602,70.49,71.1,4958,3562
27665,14214,13446,5,68.54,20,3743,3030,1,2387,2752,,457,570,,26948,717,20661,16105,1300,7811,11891,1853603,68.66,68.8,5191,3617
21029,10828,10198,3,81.63,33.33,3449,2705,,2386,2662,1,429,562,,20911,118,16114,12666,1172,5959,9858,1853604,82.06,82.48,5701,4104
14563,7560,7000,3,77.06,33.33,2011,1692,,1147,1246,,156,224,,14512,51,10833,8420,699,3807,6133,1853605,76.86,76.69,3132,2034
19229,10058,9171,,78.35,,2868,2248,,1660,1738,,345,453,,19153,76,14422,11084,946,6049,8684,1853606,79.2,79.97,4892,3350
5549,2907,2640,2,85.86,,710,575,,829,748,,408,330,,5499,50,4484,3524,365,1727,2971,1853701,87.96,89.92,282,248
11033,5647,5380,6,90.07,66.67,1448,1209,2,1503,1496,2,848,886,,10961,72,8787,7122,893,2656,6314,1853702,91.42,92.75,3271,2737
9301,4756,4545,,91.43,,1148,883,,1335,1330,,806,877,,9151,150,7424,6021,810,2900,5559,1853801,91.33,91.23,4504,4086
13082,6652,6429,1,91.94,100,1613,1383,1,1992,1958,,1144,1140,,12999,83,10390,8353,1072,3620,7708,1853802,92.7,93.43,3840,3441
10198,5187,5010,1,90.05,100,1017,990,1,1501,1461,,1134,1056,,10105,93,8264,6774,932,2976,6199,1853803,91.18,92.29,4744,4404
12023,6087,5935,1,92.85,100,1377,1180,,1705,1764,,869,956,,11843,180,9550,7731,998,3398,6967,1853804,93.54,94.22,3063,3068
13811,7025,6786,,83.82,,1524,1276,,2068,1970,,1083,1050,,13737,74,10989,8909,1030,3932,7732,1853901,85.29,86.71,4710,4054
8852,4452,4400,,91.28,,1040,882,,1390,1327,,659,708,,8839,13,7017,5670,644,2627,5056,1853902,92.9,94.49,3213,2833
16895,8568,8326,1,84.37,,2338,1884,,2145,2247,,906,977,,16777,118,13317,10711,1157,5009,9167,1853903,85.66,86.93,7380,6091
11619,6376,5242,1,90.74,100,1758,1347,,2167,1729,,823,649,,11436,183,9823,7872,598,1069,7052,1854001,92.13,93.24,4620,3611
7721,4098,3622,1,84.93,,993,678,,1179,1062,,536,750,,7541,180,6582,5544,458,2011,4711,1854002,82.07,79.65,2886,2521
5011,3125,1886,,70.29,,684,404,,811,488,,573,137,,4945,66,4213,3514,264,1307,3133,1854003,75.67,78.64,3244,2499
7454,3977,3477,,86.8,,1141,842,,938,938,,513,438,,7060,394,5989,4864,547,2631,4365,1854004,87.46,88.02,3703,3045
8505,4374,4129,2,92.56,100,1162,1003,2,1056,1065,,512,536,,8486,19,6752,5430,617,2003,4682,1854101,92.43,92.31,3443,2895
3507,1790,1715,2,92.76,100,344,302,1,538,536,1,440,405,,3424,83,2866,2344,258,1070,2174,1854102,94,95.19,1686,1614
7466,3882,3583,1,83.89,100,989,705,,960,996,1,408,443,,7365,101,5902,4734,500,2021,4190,1854103,84.17,84.42,2480,2090
9546,4941,4604,1,92.92,,1192,1051,,1436,1438,,805,720,,9494,52,7681,6221,722,1272,5685,1854104,92.64,92.41,4020,3573
14015,7176,6837,2,94.23,100,1637,1388,2,2292,2253,,1302,1355,,13935,80,11472,9330,1084,3420,8475,1854201,94.2,94.17,4859,4544
4005,2019,1986,,93.94,,455,396,,615,640,,415,438,,3994,11,3277,2705,373,1055,2467,1854202,94.29,94.64,1730,1581
16157,8293,7862,2,90.79,100,2018,1789,1,2427,2382,,1193,1143,,16075,82,12936,10412,1133,4890,9298,1854301,91.1,91.39,6735,5751
12062,6146,5916,,92.07,,1344,1193,,1989,1988,,1252,1165,,12006,56,9989,8301,1057,3584,7538,1854302,92.86,93.62,6374,5704
14089,7108,6980,1,91.36,,1806,1515,,1961,2087,,917,892,,13842,247,11156,8896,1023,3274,8154,1854401,92.12,92.89,5171,4308
5520,2819,2701,,81.64,,804,710,,648,621,,227,242,,5424,96,4320,3452,361,1607,2896,1854402,82.06,82.45,2210,1726
11957,6169,5783,5,83.23,,1705,1363,,1714,1617,,496,594,,11869,88,9445,7551,759,2847,6357,1854403,83.98,84.76,3435,2929
10656,5434,5222,,85.2,,1449,1199,,1440,1528,,663,658,,10630,26,8407,6752,731,2188,5835,1854404,86.43,87.61,3971,3466
10049,5110,4934,5,89.26,40,1387,1151,,1560,1540,,513,548,1,9995,54,7898,6230,721,2874,5437,1854501,90.26,91.28,2870,2416
10136,5101,5034,1,94.85,100,1300,1092,1,1648,1730,,766,859,,10101,35,8154,6558,750,2851,6125,1854502,95.49,96.13,3113,2760
11340,5753,5579,8,95.29,87.5,1381,1210,,1884,1884,3,957,963,4,11298,42,9066,7285,858,2153,6941,1854503,96.17,97.04,5067,4451
5960,3041,2919,,88.89,,693,592,,921,904,,490,447,,5938,22,4717,3793,451,1734,3454,1854504,89.8,90.67,3375,2906
10595,6002,4591,2,31.02,100,735,449,1,480,218,1,44,35,,10536,59,7720,5723,600,3805,4539,1854505,37.34,41.8,940,609
15907,8232,7668,7,70.97,28.57,2081,1634,2,1612,1616,,546,597,,14699,1208,12291,9566,923,4932,8081,1854601,71.98,72.96,5160,4098
10469,5284,5180,5,76.83,20,1104,984,,1221,1356,1,538,563,,10347,122,8035,6353,656,3069,5399,1854602,77.66,78.56,3725,2915
9848,5000,4848,,78.26,,1296,992,,1231,1326,,522,505,,8383,1465,7752,6118,642,3408,5249,1854603,80.55,82.79,4186,3507
14714,7678,7034,2,88.65,50,1961,1553,1,2047,2076,,838,808,,14389,325,11661,9392,993,3756,8318,1854604,88.33,88.06,6356,5027
74882,39909,34943,30,47.12,30,7713,5753,5,3470,2974,1,545,529,,67283,7599,54532,41106,3065,18202,30630,1854701,49.73,51.99,15008,10088
8151,4116,4035,,81.8,,1245,1076,,978,968,,327,346,,8113,38,6357,5112,525,1850,4290,1854801,84.57,87.26,2743,2153
13946,7024,6921,1,83.72,100,1848,1743,,1633,1648,,475,535,1,13088,858,10917,8693,881,2404,7352,1854802,83.61,83.51,5107,4159
12140,6226,5913,1,84.7,,1667,1431,,1391,1452,,489,503,,12079,61,9288,7309,781,2321,6429,1854803,85.96,87.18,6274,5235
10539,5307,5232,,76.52,,1254,965,,1174,1168,,574,638,,10111,428,8103,6313,666,2175,5563,1854804,79.13,81.67,3812,3018
4965,2542,2423,,94.02,,579,496,,756,766,,417,408,,4905,60,3938,3183,411,934,2958,1854805,94.54,95.05,2260,2046
6359,3236,3121,2,85.36,100,876,738,,844,868,,371,368,1,5849,510,4988,4021,454,1580,3528,1854806,86.85,88.29,2330,1967
17953,9127,8825,1,91.82,100,2224,1990,,2706,2534,,1120,1175,,17529,424,14110,11381,1282,4075,9815,1854807,92.97,94.07,3282,2789
18846,9547,9294,5,92.73,80,2019,1782,1,3076,2987,3,1742,1779,,18452,394,15116,12213,1564,3792,11163,1854901,93.79,94.82,6556,5753
14965,7720,7239,6,92.06,33.33,1602,1391,,2241,2253,2,1532,1401,,14740,225,12001,9713,1234,3474,8958,1854902,92.77,93.49,5030,4525
6399,3301,3098,,94.01,,838,638,,1010,966,,504,534,,6242,157,5217,4191,495,1733,3813,1854903,95.13,96.18,3805,3313
19602,9929,9673,,90.82,,1922,1713,,2880,2843,,2112,2074,,18957,645,15602,12495,1684,5347,11444,1855001,91.99,93.13,4456,3998
9550,4936,4614,,90.75,,1188,967,,1388,1327,,780,767,,9535,15,7511,5953,694,2554,5279,1855002,92.7,94.54,5769,5129
14714,7471,7242,1,90.63,100,1733,1447,,2197,2163,,1257,1252,1,14652,62,11587,9295,1160,3858,8457,1855003,92.29,93.91,6580,5629
11380,5843,5536,1,87.85,100,1348,1112,,1735,1652,1,877,903,,10903,477,9089,7354,869,2517,6572,1855101,89.47,91.02,3609,3080
7240,3850,3382,8,89.89,12.5,979,719,,1125,1069,1,575,559,,6946,294,5849,4705,549,2300,4214,1855102,89.93,90.17,3377,2875
9842,5115,4726,1,81.02,100,1422,1155,,1187,1182,1,343,386,,9577,265,7577,5971,555,2746,4909,1855103,81.25,81.44,3691,3008
9302,4736,4565,1,85.82,100,1574,1260,,1044,1256,,287,334,1,9296,6,7104,5547,513,3476,4742,1855104,86.15,86.46,3145,2605
12812,6553,6259,,90.68,,1917,1612,,1820,1755,,670,724,,12779,33,10026,7899,739,3734,7016,1855201,91.52,92.32,4930,4180
10474,5395,5079,,80.48,,1430,1195,,1111,1101,,418,438,,10416,58,7953,6223,616,2968,5239,1855202,82.5,84.41,4192,3383
8887,4469,4418,,90.15,,1322,1097,,1221,1348,,430,455,,8708,179,6936,5475,545,1452,4922,1855203,91.22,92.28,3233,2771
8759,4584,4174,1,78.48,,1407,1097,,834,925,,158,208,,7110,1649,6745,5339,497,2163,4591,1855204,78.9,79.31,3076,2329
3733,2003,1730,,85.88,,619,456,,504,463,,159,178,,3722,11,3010,2427,220,829,2080,1855301,85.15,84.55,1292,1035
4887,2548,2338,1,92.24,100,585,485,,796,693,1,395,394,,4824,63,3916,3206,370,1461,2892,1855302,94.1,95.8,2710,2335
15168,7960,7207,1,79.86,100,2312,1750,,1893,1855,,371,421,,15152,16,11679,9207,926,3373,7585,1855303,80.68,81.41,3940,3096
10301,5191,5109,1,83.04,100,1392,1221,1,1177,1177,,463,520,,10089,212,8020,6346,699,1950,5449,1855304,83.55,84.05,1940,1596
10483,5448,5035,,75.14,,1589,1338,,1045,968,,272,284,,10386,97,8085,6331,549,2657,5221,1855305,76.3,77.36,5812,4362
42409,22217,20154,38,72.49,63.16,5605,4462,12,4555,4131,6,1779,1646,,41782,627,32871,26021,2369,10450,21429,1855401,74.1,75.56,11140,8951
9253,4860,4392,1,85.12,,1105,858,,1414,1217,,711,705,,9116,137,7321,5969,633,2724,5249,1855402,86.45,87.66,2695,2362
6214,3187,3027,,87.88,,673,588,,879,857,,607,557,,6184,30,4869,3910,428,1052,3557,1855403,90.1,92.26,2571,2355
8449,4317,4132,,77.9,,974,792,,1051,916,,573,586,,8376,73,6503,5100,496,2167,4359,1855404,80.99,83.93,2477,1990
8200,4222,3978,,80.96,,1149,961,,966,926,,420,417,,7897,303,6369,5004,503,2375,4306,1855405,83.15,85.23,3094,2417
8209,4154,4055,,85.93,,831,758,,1240,1201,,916,880,,8021,188,6753,5467,635,2104,4966,1855406,88.11,90.29,3421,3100
4677,2476,2201,,79.87,,481,387,,586,544,,412,360,,4390,287,3800,3090,365,1577,2816,1855407,80.76,81.55,2308,2187
11056,5668,5377,11,82.48,45.45,1277,1146,2,1409,1286,2,792,713,1,10993,63,8514,6822,775,2341,6167,1855501,84.66,86.84,3395,2901
10995,5742,5247,6,68.97,16.67,1610,1206,1,1022,942,,218,251,,10586,409,8258,6426,562,2562,5214,1855502,72.69,76.18,2620,2020
